,State,Overall Sentiment Before Vaccine,Number of Tweets Before Vaccine,Mean Polarity Before Vaccine,Mean Subjectivity Before Vaccine,Number of Tweets After Vaccine,Overall Sentiment After Vaccine,Mean Polarity After Vaccine,Mean Subjectivity After Vaccine,Sentiment Change
0,AL,Positive,6284,0.031075541056651813,0.3386641819153158,3684,Positive,0.05473219326818675,0.32902466398310154,No
1,AK,Positive,1306,0.018651607963246556,0.3524110582596828,1142,Positive,0.031063222416812614,0.3585751081259431,No
2,AZ,Positive,14492,0.008668430858404637,0.3577061584356377,8727,Positive,0.03682728314426492,0.3316802037945496,No
3,AR,Positive,3575,0.0472699020979021,0.34969334255543544,2053,Positive,0.04905275207014125,0.3468956472472973,No
4,CA,Positive,86138,0.017862154914207434,0.3540282857938518,66580,Neutral,0.05228925953739863,0.3626548502766623,Yes
5,CO,Positive,12545,0.034170498206456755,0.3496588933434015,8792,Positive,0.048604094631483165,0.34995991670254695,No
6,CT,Positive,6823,0.05390992232155943,0.347611561124484,5848,Positive,0.05141008891928865,0.3319716948207502,No
7,DE,Positive,1822,0.05117969264544456,0.3377162993555008,1099,Positive,0.039075068243858056,0.3567510178527175,No
8,DC,Positive,29119,0.03793609670661767,0.3389854417970958,20608,Positive,0.08263024068322981,0.33780037662432055,No
9,FL,Positive,47179,0.0036383327327836534,0.3436479469376622,25913,Positive,0.02906131671361865,0.338380359348188,No
10,GA,Positive,22419,0.027426254516258537,0.34038190281569236,11355,Positive,0.04384614707177455,0.3324457963975912,No
11,HI,Negative,2794,-0.013230565497494632,0.34626638821119027,2021,Neutral,0.000744680851063831,0.31549166606532125,Yes
12,ID,Positive,2377,0.02155578460244005,0.34052676026591977,1410,Positive,0.024263475177304965,0.34088405016312817,No
13,IL,Positive,22355,0.03683784835607247,0.34691125687931057,18710,Positive,0.06465242116515231,0.338823204250157,No
14,IN,Positive,8680,0.049460829493087555,0.3577963220864798,6042,Positive,0.07268945713339954,0.3436430236308307,No
15,IA,Positive,5365,0.049696495806150986,0.3480589547659782,4564,Positive,0.10074399649430325,0.35027994773499055,No
16,KS,Positive,4206,0.06789980979553019,0.34841484580125665,2663,Positive,0.07315767930904996,0.3403660522805329,No
17,KY,Positive,6850,0.029388788321167883,0.35753612392160233,5166,Positive,0.05083813395276811,0.32558462638305086,No
18,LA,Positive,7187,0.024715903715041045,0.3457023410155471,4323,Neutral,0.05053027989821884,0.30448183778639065,Yes
19,ME,Negative,2711,-0.007325193655477683,0.3491365580948541,2439,Neutral,0.012006437064370643,0.3372279035282755,Yes
20,MD,Positive,13447,0.04382532906968097,0.356632509376981,10567,Positive,0.07665017507334154,0.33523810142334876,No
21,MA,Positive,18338,0.059271125531682844,0.35939271877646006,14676,Positive,0.09105859907331697,0.3599648036873099,No
22,MI,Positive,14471,0.024511858199156935,0.3552689119034599,15821,Positive,0.025586840275583087,0.3561951476457006,No
23,MN,Positive,9159,0.039416137132874764,0.35860068346192864,7183,Positive,0.06017015174718084,0.35668111859688006,No
24,MS,Positive,2722,0.04498857457751653,0.3454232640114804,1837,Positive,0.03881094175285792,0.3387523852150055,No
25,MO,Positive,9176,0.05317353966870096,0.3509073532132648,6287,Positive,0.07480466041037061,0.34130799161484,No
26,MT,Positive,1804,0.02999550997782705,0.37274225427258867,1291,Positive,0.02782989930286599,0.3704689894192218,No
27,NE,Positive,3195,0.05027784037558685,0.3514690498962911,2752,Positive,0.06742910610465117,0.35856982239956314,No
28,NV,Positive,7714,0.004674280528908475,0.3336291357247663,5061,Positive,0.029810057300928675,0.3393433163722215,No
29,NH,Positive,2110,0.04298715639810426,0.34962927318993814,1737,Positive,0.09320840529648819,0.36035745961260923,No
30,NJ,Positive,13973,0.027704880841623127,0.35170627085861356,12286,Positive,0.023111012534592218,0.3459378790291353,No
31,NM,Negative,3042,-0.01691689677843524,0.3621239874255659,1805,Positive,0.05527423822714681,0.36104485761988236,Yes
32,NY,Positive,66933,0.02473322277501382,0.34494938065783093,53710,Positive,0.03777970955129399,0.35207224977900303,No
33,NC,Positive,17742,0.04956078232442791,0.3498679422880078,11072,Positive,0.07437736632947976,0.34867112268568645,No
34,ND,Positive,1162,0.07143683304647161,0.3645186353246195,1130,Positive,0.053537522123893795,0.35204048077864447,No
35,OH,Positive,19860,0.03113055387713998,0.3497360764616872,12787,Positive,0.06683798388988818,0.35302501258558894,No
36,OK,Positive,5566,0.07004550844412503,0.3740112078940472,2560,Positive,0.048910351562499996,0.3380563188304957,No
